sat_id,x0_m,y0_m,vx0_ms,vy0_ms,euler_class,euler_energy,euler_final_x_m,euler_final_y_m,rk4_class,rk4_energy,rk4_final_x_m,rk4_final_y_m
133,7856714.286,0.000,0.000,5090.909,3,-3.778968e+07,5022574.640,4077093.227,3,-3.777505e+07,5020009.539,4080355.245
134,7880090.909,0.000,0.000,5090.909,3,-3.763923e+07,4988801.966,4118046.728,3,-3.762455e+07,4986230.503,4121278.856
135,7903467.532,0.000,0.000,5090.909,3,-3.748968e+07,4954833.580,4158678.365,3,-3.747494e+07,4952256.296,4161880.762
136,7926844.156,0.000,0.000,5090.909,3,-3.734100e+07,4920678.940,4198990.073,3,-3.732621e+07,4918096.368,4202162.909
137,7950220.779,0.000,0.000,5090.909,3,-3.719319e+07,4886347.383,4238983.889,3,-3.717835e+07,4883760.051,4242127.340
138,7973597.403,0.000,0.000,5090.909,3,-3.704625e+07,4851848.125,4278661.948,3,-3.703136e+07,4849256.553,4281776.198
139,7996974.026,0.000,0.000,5090.909,3,-3.690016e+07,4817190.263,4318026.482,3,-3.688523e+07,4814594.965,4321111.723
140,8020350.649,0.000,0.000,5090.909,3,-3.675493e+07,4782382.773,4357079.817,3,-3.673995e+07,4779784.254,4360136.247
141,8043727.273,0.000,0.000,5090.909,3,-3.661053e+07,4747434.510,4395824.374,3,-3.659552e+07,4744833.270,4398852.200
142,8067103.896,0.000,0.000,5090.909,3,-3.646697e+07,4712354.209,4434262.664,3,-3.645192e+07,4709750.740,4437262.098
143,8090480.519,0.000,0.000,5090.909,3,-3.632426e+07,4670455.711,4474801.790,3,-3.630916e+07,4667849.277,4477768.967
144,8113857.143,0.000,0.000,5090.909,3,-3.618235e+07,4635100.816,4512589.592,3,-3.616721e+07,4632493.165,4515528.824
145,8137233.766,0.000,0.000,5090.909,3,-3.604125e+07,4599640.165,4550079.178,3,-3.602608e+07,4597031.766,4552990.697
146,8160610.390,0.000,0.000,5090.909,3,-3.590098e+07,4557274.191,4589533.591,3,-3.588576e+07,4554664.440,4592413.552
147,8183987.013,0.000,0.000,5090.909,3,-3.576148e+07,4521592.855,4626389.525,3,-3.574624e+07,4518983.323,4629242.262
148,8207363.636,0.000,0.000,5090.909,3,-3.562278e+07,4485830.935,4662956.118,3,-3.560752e+07,4483222.069,4665781.885
149,8230740.260,0.000,0.000,5090.909,3,-3.548488e+07,4443082.930,4701352.077,3,-3.546958e+07,4440474.255,4704147.051
150,8254116.883,0.000,0.000,5090.909,3,-3.534774e+07,4407151.979,4737303.559,3,-3.533243e+07,4404544.889,4740072.088
151,8277493.506,0.000,0.000,5090.909,3,-3.521140e+07,4364182.705,4774992.211,3,-3.519605e+07,4361576.811,4777730.493
152,8300870.130,0.000,0.000,5090.909,3,-3.507579e+07,4328116.432,4810341.855,3,-3.506044e+07,4318494.320,4815014.154
153,8324246.753,0.000,0.000,5090.909,3,-3.494097e+07,4284962.422,4847336.862,3,-3.492559e+07,4282361.170,4850019.577
154,8347623.377,0.000,0.000,5090.909,3,-3.480691e+07,4241712.208,4883963.975,3,-3.479149e+07,4239113.625,4886617.316
155,8371000.000,0.000,0.000,5090.909,3,-3.467359e+07,4198375.392,4920226.912,3,-3.465815e+07,4195779.967,4922851.184
156,6571000.000,0.000,0.000,5181.818,3,-4.723975e+07,6392220.956,1006398.641,3,-4.723493e+07,6391316.951,1011439.000
157,6594376.623,0.000,0.000,5181.818,3,-4.702524e+07,6372720.738,1122035.566,3,-4.701989e+07,6371719.864,1127042.594
158,6617753.247,0.000,0.000,5181.818,3,-4.681218e+07,6353352.987,1226948.158,3,-4.680637e+07,6352266.008,1231922.178
159,6641129.870,0.000,0.000,5181.818,3,-4.660060e+07,6332895.958,1326224.511,3,-4.659435e+07,6331728.964,1331164.887
160,6664506.494,0.000,0.000,5181.818,3,-4.639047e+07,6311917.044,1419925.901,3,-4.638383e+07,6313213.354,1419932.986
161,6687883.117,0.000,0.000,5181.818,3,-4.618176e+07,6293625.078,1503256.908,3,-4.617477e+07,6292320.000,1508131.948
