step,sat_id,class,x_m,y_m,r_km
48,2,3,6607266.140,239873.164,6611.619
49,2,3,6606824.534,244865.067,6611.361
50,2,3,6606373.814,249856.632,6611.097
51,2,3,6605913.982,254847.852,6610.828
52,2,3,6605445.035,259838.720,6610.554
53,2,3,6604966.975,264829.230,6610.274
54,2,3,6604479.799,269819.375,6609.989
55,2,3,6603983.508,274809.147,6609.699
56,2,3,6603478.101,279798.540,6609.403
57,2,3,6602963.578,284787.547,6609.102
58,2,3,6602439.937,289776.160,6608.796
59,2,3,6601907.180,294764.373,6608.484
60,2,3,6601365.304,299752.179,6608.167
61,2,3,6600814.309,304739.571,6607.845
62,2,3,6600254.196,309726.542,6607.517
63,2,3,6599684.962,314713.086,6607.184
64,2,3,6599106.609,319699.194,6606.846
65,2,3,6598519.134,324684.860,6606.502
66,2,3,6597922.538,329670.078,6606.154
67,2,3,6597316.819,334654.839,6605.799
68,2,3,6596701.978,339639.138,6605.440
69,2,3,6596078.013,344622.967,6605.075
70,2,3,6595444.925,349606.320,6604.704
71,2,3,6594802.711,354589.189,6604.329
72,2,3,6594151.372,359571.567,6603.948
73,2,3,6593490.907,364553.447,6603.561
74,2,3,6592821.315,369534.823,6603.170
75,2,3,6592142.596,374515.687,6602.773
76,2,3,6591454.748,379496.033,6602.370
77,2,3,6590757.771,384475.853,6601.963
78,2,3,6590051.665,389455.141,6601.550
79,2,3,6589336.429,394433.889,6601.131
80,2,3,6588612.061,399412.090,6600.707
81,2,3,6587878.561,404389.738,6600.278
82,2,3,6587135.929,409366.825,6599.844
83,2,3,6586384.163,414343.344,6599.404
84,2,3,6585623.264,419319.289,6598.959
85,2,3,6584853.229,424294.652,6598.509
86,2,3,6584074.058,429269.427,6598.053
87,2,3,6583285.751,434243.606,6597.592
88,2,3,6582488.306,439217.182,6597.125
89,2,3,6581681.723,444190.149,6596.654
90,2,3,6580866.001,449162.498,6596.176
91,2,3,6580041.139,454134.224,6595.694
92,2,3,6579207.136,459105.319,6595.206
93,2,3,6578363.992,464075.776,6594.713
94,2,3,6577511.705,469045.588,6594.214
95,2,3,6576650.274,474014.748,6593.711
96,2,3,6575779.699,478983.249,6593.201
97,2,3,6574899.979,483951.084,6592.687
98,2,3,6574011.113,488918.246,6592.167
99,2,3,6573113.099,493884.727,6591.642
100,2,3,6572205.938,498850.521,6591.111
101,2,3,6571289.627,503815.620,6590.575
102,2,3,6570364.167,508780.018,6590.034
103,2,3,6569429.556,513743.708,6589.487
104,2,3,6568485.792,518706.682,6588.935
105,2,3,6567532.876,523668.932,6588.377
106,2,3,6566570.806,528630.454,6587.815
107,2,3,6565599.582,533591.238,6587.247
108,2,3,6564619.201,538551.277,6586.673
109,2,3,6563629.663,543510.566,6586.094
110,2,3,6562630.968,548469.096,6585.510
111,2,3,6561623.113,553426.861,6584.921
112,2,3,6560606.098,558383.854,6584.326
113,2,3,6559579.923,563340.066,6583.725
114,2,3,6558544.585,568295.492,6583.120
115,2,3,6557500.084,573250.124,6582.509
116,2,3,6556446.418,578203.954,6581.893
117,2,3,6555383.587,583156.977,6581.271
118,2,3,6554311.590,588109.184,6580.644
119,2,3,6553230.425,593060.568,6580.011
120,2,3,6552140.091,598011.122,6579.374
121,2,3,6551040.587,602960.840,6578.730
122,2,3,6549931.911,607909.713,6578.082
123,2,3,6548814.064,612857.736,6577.428
124,2,3,6547687.043,617804.899,6576.769
125,2,3,6546550.848,622751.197,6576.104
126,2,3,6545405.477,627696.622,6575.434
127,2,3,6544250.929,632641.167,6574.759
128,2,3,6543087.202,637584.825,6574.078
129,2,3,6541914.296,642527.589,6573.392
130,2,3,6540732.210,647469.450,6572.701
131,2,3,6539540.941,652410.403,6572.004
132,2,3,6538340.490,657350.440,6571.302
133,2,3,6537130.854,662289.553,6570.594
134,2,3,6535912.032,667227.735,6569.881
135,2,3,6534684.023,672164.980,6569.163
136,2,3,6533446.826,677101.280,6568.439
137,2,3,6532200.440,682036.627,6567.710
138,2,3,6530944.863,686971.014,6566.976
139,2,3,6529680.093,691904.435,6566.236
140,2,3,6528406.131,696836.882,6565.491
141,2,3,6527122.973,701768.347,6564.740
142,2,3,6525830.619,706698.823,6563.984
143,2,3,6524529.068,711628.303,6563.223
144,2,3,6523218.317,716556.780,6562.456
145,2,3,6521898.367,721484.247,6561.684
146,2,3,6520569.214,726410.695,6560.907
147,2,3,6519230.859,731336.118,6560.124
148,2,3,6517883.299,736260.509,6559.336
149,2,3,6516526.534,741183.860,6558.542
150,2,3,6515160.561,746106.163,6557.743
151,2,3,6513785.379,751027.412,6556.938
152,2,3,6512400.988,755947.599,6556.129
153,2,3,6511007.384,760866.717,6555.314
154,2,3,6509604.568,765784.758,6554.493
155,2,3,6508192.537,770701.715,6553.667
156,2,3,6506771.289,775617.581,6552.836
